/I_135/OUTA X,/I_135/OUTA Y,/I_270/OUTA X,/I_270/OUTA Y,/I_405/OUTA X,/I_405/OUTA Y,/I_540/OUTA X,/I_540/OUTA Y,/I_675/OUTA X,/I_675/OUTA Y,/I_810/OUTA X,/I_810/OUTA Y,/I_945/OUTA X,/I_945/OUTA Y,/I_1080/OUTA X,/I_1080/OUTA Y,/I_1215/OUTA X,/I_1215/OUTA Y,/I_1350/OUTA X,/I_1350/OUTA Y,/I_135/IN X,/I_135/IN Y
0.0001354005270392878,5.336096024171122e-11,0.0001354005270392878,4.161255218305148e-11,0.0001354005270392878,4.669864565807553e-11,0.0001354005270392878,5.419781226256355e-11,0.0001354005270392878,6.352214950753171e-11,0.0001354005270392878,7.227973187776869e-11,0.0001354005270392878,8.046222689759569e-11,0.0001354005270392878,8.812566560390643e-11,0.0001354005270392878,9.528749108276383e-11,0.0001354005270392878,1.020085858019668e-10,0.0001354005270392878,-1.458397891842849e-10
0.0001454005270392878,5.342998079209184e-11,0.0001454005270392878,4.166786466505932e-11,0.0001454005270392878,4.675934206409832e-11,0.0001454005270392878,5.426626003542501e-11,0.0001454005270392878,6.359953912722109e-11,0.0001454005270392878,7.236478883561526e-11,0.0001454005270392878,8.055380800632751e-11,0.0001454005270392878,8.822278894995318e-11,0.0001454005270392878,9.538927452900847e-11,0.0001454005270392878,1.021142697369783e-10,0.0001454005270392878,-1.418397891842849e-10
0.0001554005270392878,5.350225992391643e-11,0.0001554005270392878,4.172579372355876e-11,0.0001554005270392878,4.682290590160863e-11,0.0001554005270392878,5.43379355312455e-11,0.0001554005270392878,6.368057062603747e-11,0.0001554005270392878,7.245384003712047e-11,0.0001554005270392878,8.064968108891676e-11,0.0001554005270392878,8.832445583698646e-11,0.0001554005270392878,9.549581107614376e-11,0.0001554005270392878,1.022248804038374e-10,0.0001554005270392878,-1.378397891842849e-10
0.0001654005270392878,5.357804473364962e-11,0.0001654005270392878,4.178653814737546e-11,0.0001654005270392878,4.688955474279802e-11,0.0001654005270392878,5.441308323719138e-11,0.0001654005270392878,6.376551932657433e-11,0.0001654005270392878,7.254718684136034e-11,0.0001654005270392878,8.075016935447496e-11,0.0001654005270392878,8.843100784043902e-11,0.0001654005270392878,9.560745745801142e-11,0.0001654005270392878,1.023407869681031e-10,0.0001654005270392878,-1.338397891842849e-10
0.0001754005270392878,5.365760848522426e-11,0.0001754005270392878,4.18503178158202e-11,0.0001754005270392878,4.695952921552578e-11,0.0001754005270392878,5.449197350505653e-11,0.0001754005270392878,6.385468962260176e-11,0.0001754005270392878,7.264516236697745e-11,0.0001754005270392878,8.085563001188371e-11,0.0001754005270392878,8.854282240891244e-11,0.0001754005270392878,9.572460781300463e-11,0.0001754005270392878,1.024623972426022e-10,0.0001754005270392878,-1.298397891842849e-10
0.0001854005270392878,5.374125420466398e-11,0.0001854005270392878,4.191737660219871e-11,0.0001854005270392878,4.703309617249272e-11,0.0001854005270392878,5.457490610046274e-11,0.0001854005270392878,6.394841896192128e-11,0.0001854005270392878,7.274813583408503e-11,0.0001854005270392878,8.096645891006625e-11,0.0001854005270392878,8.866031775204692e-11,0.0001854005270392878,9.584769877310811e-11,0.0001854005270392878,1.025901629382e-10,0.0001854005270392878,-1.258397891842849e-10
0.0001954005270392878,5.382931888380187e-11,0.0001954005270392878,4.198798576834912e-11,0.0001954005270392878,4.711055239787053e-11,0.0001954005270392878,5.466221435365199e-11,0.0001954005270392878,6.404708250175148e-11,0.0001954005270392878,7.285651763966191e-11,0.0001954005270392878,8.108309595960719e-11,0.0001954005270392878,8.87839585505953e-11,0.0001954005270392878,9.597721540673424e-11,0.0001954005270392878,1.027245857927055e-10,0.0001954005270392878,-1.218397891842849e-10
0.0002054005270392878,5.392217842045453e-11,0.0002054005270392878,4.206244795654944e-11,0.0002054005270392878,4.719222896417459e-11,0.0002054005270392878,5.47542700358287e-11,0.0002054005270392878,6.415109857612727e-11,0.0002054005270392878,7.297076531522494e-11,0.0002054005270392878,8.120603149637856e-11,0.0002054005270392878,8.891426265657283e-11,0.0002054005270392878,9.611369819070416e-11,0.0002054005270392878,1.028662247606459e-10,0.0002054005270392878,-1.178397891842849e-10
0.0002154005270392878,5.402025344713367e-11,0.0002154005270392878,4.214110190088688e-11,0.0002154005270392878,4.727849637285397e-11,0.0002154005270392878,5.485148911317361e-11,0.0002154005270392878,6.426093514542042e-11,0.0002154005270392878,7.309139055388047e-11,0.0002154005270392878,8.133581378437242e-11,0.0002154005270392878,8.905180899039679e-11,0.0002154005270392878,9.625775122518362e-11,0.0002154005270392878,1.030157044821803e-10,0.0002154005270392878,-1.138397891842849e-10
0.0002254005270392878,5.412401624384089e-11,0.0002254005270392878,4.222432801518711e-11,0.0002254005270392878,4.73697706518699e-11,0.0002254005270392878,5.495433856837073e-11,0.0002254005270392878,6.437711744126194e-11,0.0002254005270392878,7.321896753496418e-11,0.0002254005270392878,8.147305790079863e-11,0.0002254005270392878,8.919724689162738e-11,0.0002254005270392878,9.641005195907705e-11,0.0002254005270392878,1.031737253062779e-10,0.0002254005270392878,-1.098397891842849e-10
