/I0/OUT (VY=-0.1) X,/I0/OUT (VY=-0.1) Y,/I0/OUT (VY=-0.08947368) X,/I0/OUT (VY=-0.08947368) Y,/I0/OUT (VY=-0.07894737) X,/I0/OUT (VY=-0.07894737) Y,/I0/OUT (VY=-0.06842105) X,/I0/OUT (VY=-0.06842105) Y,/I0/OUT (VY=-0.05789474) X,/I0/OUT (VY=-0.05789474) Y,/I0/OUT (VY=-0.04736842) X,/I0/OUT (VY=-0.04736842) Y,/I0/OUT (VY=-0.03684211) X,/I0/OUT (VY=-0.03684211) Y,/I0/OUT (VY=-0.02631579) X,/I0/OUT (VY=-0.02631579) Y,/I0/OUT (VY=-0.01578947) X,/I0/OUT (VY=-0.01578947) Y,/I0/OUT (VY=-0.005263158) X,/I0/OUT (VY=-0.005263158) Y,/I0/OUT (VY=0.005263158) X,/I0/OUT (VY=0.005263158) Y,/I0/OUT (VY=0.01578947) X,/I0/OUT (VY=0.01578947) Y,/I0/OUT (VY=0.02631579) X,/I0/OUT (VY=0.02631579) Y,/I0/OUT (VY=0.03684211) X,/I0/OUT (VY=0.03684211) Y,/I0/OUT (VY=0.04736842) X,/I0/OUT (VY=0.04736842) Y,/I0/OUT (VY=0.05789474) X,/I0/OUT (VY=0.05789474) Y,/I0/OUT (VY=0.06842105) X,/I0/OUT (VY=0.06842105) Y,/I0/OUT (VY=0.07894737) X,/I0/OUT (VY=0.07894737) Y,/I0/OUT (VY=0.08947368) X,/I0/OUT (VY=0.08947368) Y,/I0/OUT (VY=0.1) X,/I0/OUT (VY=0.1) Y
0.0004698395065462998,-1.856464361051152e-11,0.0004698893119761806,-1.831724470607055e-11,0.000468240957688055,-1.805330100782557e-11,0.0004656237591718967,-1.779780735395477e-11,0.0004626547216176248,-1.756985657638115e-11,0.0004598495930818911,-1.7382010008215e-11,0.000454968850648557,-1.722679093729845e-11,0.000450729272486285,-1.712361128595815e-11,0.0004433623372001537,-1.707362663934984e-11,0.0004457147262217769,-1.708492317036677e-11,0.0004519774711065452,-1.71378781276472e-11,0.0004534023686275059,-1.727263177018663e-11,0.0004506780250568765,-1.753033824240768e-11,0.0004455406848269176,-1.793898700557209e-11,0.0004399129168916555,-1.850341986922754e-11,0.0004455447139015188,-1.908572766996848e-11,0.0004505227408618576,-1.973528232926173e-11,0.0004530642918027434,-2.04200047464927e-11,0.0004556575280948694,-2.106924449172807e-11,0.0004582997677694731,-2.164931412451645e-11
0.0004798395065462998,-1.867112337524772e-11,0.0004798893119761807,-1.842084572159582e-11,0.0004782409576880551,-1.814974686429271e-11,0.0004756237591718967,-1.788436793932124e-11,0.0004726547216176248,-1.764395143353111e-11,0.0004698495930818911,-1.744141031970451e-11,0.000464968850648557,-1.726879693378481e-11,0.000460729272486285,-1.714738307229016e-11,0.0004533623372001538,-1.707825258594371e-11,0.000455714726221777,-1.707239059657888e-11,0.0004619774711065452,-1.710948088584423e-11,0.0004634023686275059,-1.722809167747573e-11,0.0004606780250568765,-1.746979382461797e-11,0.0004555406848269177,-1.786383355744713e-11,0.0004499129168916555,-1.841700028141912e-11,0.0004555447139015188,-1.899727313205946e-11,0.0004605227408618576,-1.964935934590774e-11,0.0004630642918027434,-2.034021264367695e-11,0.0004656575280948694,-2.099764511678809e-11,0.0004682997677694731,-2.158672322839288e-11
0.0004898395065462999,-1.877748392483788e-11,0.0004898893119761806,-1.852506366262561e-11,0.0004882409576880551,-1.824733311820582e-11,0.0004856237591718968,-1.797236291065461e-11,0.0004826547216176248,-1.771971516399067e-11,0.0004798495930818911,-1.750250824471219e-11,0.0004749688506485571,-1.731260616709696e-11,0.000470729272486285,-1.717303710415054e-11,0.0004633623372001538,-1.708478185742338e-11,0.000465714726221777,-1.706185016668714e-11,0.0004719774711065452,-1.708319102705288e-11,0.000473402368627506,-1.718568911347688e-11,0.0004706780250568765,-1.74112898785465e-11,0.0004655406848269177,-1.779046607326467e-11,0.0004599129168916555,-1.833186669025646e-11,0.0004655447139015188,-1.890949776784517e-11,0.0004705227408618577,-1.956379050909513e-11,0.0004730642918027435,-2.026052139145769e-11,0.0004756575280948694,-2.092609041401366e-11,0.0004782997677694732,-2.152413929282608e-11
0.0004998395065462999,-1.888373003839807e-11,0.0004998893119761807,-1.862957962812112e-11,0.0004982409576880551,-1.834606896978593e-11,0.0004956237591718967,-1.806181106634877e-11,0.0004926547216176248,-1.779718050876568e-11,0.0004898495930818911,-1.756534173751236e-11,0.0004849688506485571,-1.735828975629105e-11,0.0004807292724862851,-1.720065607845279e-11,0.0004733623372001538,-1.709330340106208e-11,0.000475714726221777,-1.705340047962574e-11,0.0004819774711065452,-1.705911689124044e-11,0.000483402368627506,-1.714554086632221e-11,0.0004806780250568766,-1.735495324481541e-11,0.0004755406848269177,-1.77190234677172e-11,0.0004699129168916555,-1.824825529385683e-11,0.0004755447139015188,-1.882254582468293e-11,0.0004805227408618577,-1.947869618132232e-11,0.0004830642918027435,-2.018102354608934e-11,0.0004856575280948694,-2.085467538682998e-11,0.0004882997677694732,-2.146160598469944e-11
0.0005098395065462999,-1.898986821646009e-11,0.0005098893119761807,-1.873429908392868e-11,0.0005082409576880551,-1.844596625198816e-11,0.0005056237591718968,-1.815273447385389e-11,0.0005026547216176249,-1.787638467651931e-11,0.0004998495930818911,-1.762997342895601e-11,0.0004949688506485571,-1.740592498431437e-11,0.000490729272486285,-1.723032902762277e-11,0.0004833623372001539,-1.710391204347839e-11,0.000485714726221777,-1.704714500290196e-11,0.0004919774711065453,-1.703737057528811e-11,0.000493402368627506,-1.710776550429241e-11,0.0004906780250568765,-1.730091059160731e-11,0.0004855406848269177,-1.764964258478147e-11,0.0004799129168916556,-1.816632239912189e-11,0.0004855447139015189,-1.873656008426198e-11,0.0004905227408618577,-1.939419565331013e-11,0.0004930642918027435,-2.010181069876471e-11,0.0004956575280948694,-2.078346699581512e-11,0.0004982997677694732,-2.139916582537027e-11
0.0005198395065462999,-1.909590718377003e-11,0.0005198893119761807,-1.883922948853709e-11,0.0005182409576880552,-1.854704197615328e-11,0.0005156237591718968,-1.824515723282082e-11,0.0005126547216176249,-1.795736365351255e-11,0.0005098495930818912,-1.769646607559367e-11,0.0005049688506485571,-1.745559442842354e-11,0.0005007292724862851,-1.726215130203765e-11,0.0004933623372001539,-1.711670864635436e-11,0.000495714726221777,-1.704319247350887e-11,0.0005019774711065453,-1.701806850911418e-11,0.000503402368627506,-1.707248404449374e-11,0.0005006780250568766,-1.724928929101042e-11,0.0004955406848269178,-1.758245890196182e-11,0.0004899129168916556,-1.808620502153002e-11,0.0004955447139015188,-1.865168211667222e-11,0.0005005227408618577,-1.931040752726346e-11,0.0005030642918027435,-2.002297389626371e-11,0.0005056575280948694,-2.071251887743273e-11,0.0005082997677694732,-2.133684349258748e-11
0.0005298395065463,-1.920185452186871e-11,0.0005298893119761808,-1.894438039666478e-11,0.0005282409576880552,-1.864916629267532e-11,0.0005256237591718968,-1.833911510059321e-11,0.0005226547216176249,-1.8040135083802e-11,0.0005198495930818912,-1.776489963735084e-11,0.0005149688506485571,-1.750737756938618e-11,0.0005107292724862851,-1.729621274767168e-11,0.0005033623372001539,-1.713180039332538e-11,0.000505714726221777,-1.704165351318403e-11,0.0005119774711065453,-1.700131102982027e-11,0.0005134023686275061,-1.703979631796135e-11,0.0005106780250568766,-1.720019374437636e-11,0.0005055406848269178,-1.751760227389399e-11,0.0004999129168916556,-1.80080407282188e-11,0.0005055447139015189,-1.856804692626923e-11,0.0005105227408618578,-1.922741993320284e-11,0.0005130642918027436,-1.994457259107159e-11,0.0005156575280948695,-2.064187329762954e-11,0.0005182997677694733,-2.12746952081632e-11
0.0005398395065463,-1.930771921148762e-11,0.0005398893119761808,-1.904975456095236e-11,0.0005382409576880552,-1.875199917859729e-11,0.0005356237591718968,-1.843464039488018e-11,0.0005326547216176249,-1.812468271097588e-11,0.0005298495930818912,-1.783536295648074e-11,0.0005249688506485571,-1.756139041924953e-11,0.0005207292724862851,-1.733263755488754e-11,0.0005133623372001539,-1.714928463167791e-11,0.0005157147262217771,-1.704263801218865e-11,0.0005219774711065453,-1.698725905471295e-11,0.0005234023686275061,-1.700987756109306e-11,0.0005206780250568766,-1.715378943916867e-11,0.0005155406848269178,-1.745518843209462e-11,0.0005099129168916557,-1.793194084926027e-11,0.0005155447139015189,-1.848577289597471e-11,0.0005205227408618578,-1.914539388560104e-11,0.0005230642918027436,-1.986681212426627e-11,0.0005256575280948695,-2.057165639691161e-11,0.0005282997677694733,-2.12128188479611e-11
0.0005498395065463,-1.941351321829708e-11,0.0005498893119761808,-1.915535501483356e-11,0.0005482409576880552,-1.8855406448788e-11,0.0005456237591718969,-1.853176233206865e-11,0.000542654721617625,-1.821102563727399e-11,0.0005398495930818912,-1.790793782859333e-11,0.0005349688506485572,-1.761774737326057e-11,0.0005307292724862851,-1.737156410644664e-11,0.000523362337200154,-1.716931101260919e-11,0.0005257147262217771,-1.704631207054733e-11,0.0005319774711065454,-1.69760897512827e-11,0.0005334023686275061,-1.698291212912033e-11,0.0005306780250568766,-1.71102687224047e-11,0.0005255406848269178,-1.739541795855032e-11,0.0005199129168916557,-1.785807807168255e-11,0.0005255447139015189,-1.840507470171518e-11,0.0005305227408618578,-1.906452036497348e-11,0.0005330642918027436,-1.978989463963353e-11,0.0005356575280948695,-2.050197935960043e-11,0.0005382997677694733,-2.115128516623201e-11
0.0005598395065463,-1.951924898417099e-11,0.0005598893119761808,-1.926118516792773e-11,0.0005582409576880553,-1.89593871224852e-11,0.0005556237591718969,-1.863051048188607e-11,0.000552654721617625,-1.829921447774409e-11,0.0005498495930818913,-1.798270117667944e-11,0.0005449688506485572,-1.767654920192943e-11,0.0005407292724862852,-1.741311821243025e-11,0.000533362337200154,-1.719203574448102e-11,0.0005357147262217771,-1.705284075859012e-11,0.0005419774711065454,-1.696795411884617e-11,0.0005434023686275061,-1.695904886900939e-11,0.0005406780250568767,-1.706979156044317e-11,0.0005355406848269179,-1.733848519038814e-11,0.0005299129168916557,-1.778666164146428e-11,0.0005355447139015189,-1.832615729479733e-11,0.0005405227408618579,-1.898494741381147e-11,0.0005430642918027436,-1.971393945839581e-11,0.0005456575280948695,-2.04329072156819e-11,0.0005482997677694734,-2.109013442682085e-11
0.0005698395065463001,-1.9624937087396e-11,0.0005698893119761809,-1.936724673128124e-11,0.0005682409576880553,-1.906394980627341e-11,0.0005656237591718969,-1.873084567341476e-11,0.000562654721617625,-1.838930612623207e-11,0.0005598495930818913,-1.805973005888633e-11,0.0005549688506485572,-1.773789438228387e-11,0.0005507292724862852,-1.745741774912342e-11,0.000543362337200154,-1.72175948455766e-11,0.0005457147262217771,-1.706236485779013e-11,0.0005519774711065454,-1.696298984011042e-11,0.0005534023686275062,-1.693842283913157e-11,0.0005506780250568767,-1.703249342741873e-11,0.0005455406848269179,-1.728453577481239e-11,0.0005399129168916557,-1.771786238463761e-11,0.000545544713901519,-1.824916967202762e-11,0.0005505227408618579,-1.890679040178278e-11,0.0005530642918027437,-1.963902696735773e-11,0.0005556575280948696,-2.036449357379488e-11,0.0005582997677694734,-2.102940303533175e-11
0.0005798395065463001,-1.973058528088554e-11,0.0005798893119761809,-1.947353856854008e-11,0.0005782409576880553,-1.91690915712237e-11,0.0005756237591718969,-1.883240012995194e-11,0.0005726547216176251,-1.848135438689028e-11,0.0005698495930818913,-1.813910225444108e-11,0.0005649688506485572,-1.780188398889524e-11,0.0005607292724862852,-1.750458268564735e-11,0.000553362337200154,-1.724611821445107e-11,0.0005557147262217772,-1.707502095403706e-11,0.0005619774711065454,-1.696134029828785e-11,0.0005634023686275062,-1.692117678928599e-11,0.0005606780250568767,-1.699851134710715e-11,0.0005555406848269179,-1.723369996720045e-11,0.0005499129168916558,-1.765181542830016e-11,0.000555544713901519,-1.817425269741142e-11,0.0005605227408618579,-1.883016326045874e-11,0.0005630642918027437,-1.956523981904002e-11,0.0005656575280948696,-2.029679960402968e-11,0.0005682997677694734,-2.096913438007675e-11
0.0005898395065463001,-1.983619791301737e-11,0.0005898893119761809,-1.958005601059659e-11,0.0005882409576880553,-1.927480311755091e-11,0.000585623759171897,-1.893488809128069e-11,0.0005826547216176251,-1.857540899447365e-11,0.0005798495930818913,-1.822089347602148e-11,0.0005749688506485573,-1.786862049167906e-11,0.0005707292724862852,-1.755473731009166e-11,0.0005633623372001541,-1.727774133182599e-11,0.0005657147262217772,-1.709095417285996e-11,0.0005719774711065455,-1.696315988107817e-11,0.0005734023686275062,-1.690746574954822e-11,0.0005706780250568767,-1.696799403576826e-11,0.0005655406848269179,-1.71861164640282e-11,0.0005599129168916558,-1.758865219929322e-11,0.000565544713901519,-1.810169189118429e-11,0.0005705227408618579,-1.87551981914007e-11,0.0005730642918027437,-1.949267200371927e-11,0.0005756575280948696,-2.022989554366153e-11,0.0005782997677694734,-2.09093791634996e-11
0.0005998395065463001,-1.994177529225857e-11,0.0005998893119761809,-1.968679016820505e-11,0.0005982409576880554,-1.938107063640427e-11,0.000595623759171897,-1.903822277421582e-11,0.0005926547216176251,-1.867151516192178e-11,0.0005898495930818914,-1.830517620723069e-11,0.0005849688506485573,-1.793820578700245e-11,0.0005807292724862853,-1.760800867278072e-11,0.0005733623372001541,-1.731260655598054e-11,0.0005757147262217772,-1.711031893064131e-11,0.0005819774711065455,-1.696861297943846e-11,0.0005834023686275062,-1.689745577253657e-11,0.0005806780250568768,-1.694110203325864e-11,0.000575540684826918,-1.714193661756108e-11,0.0005699129168916558,-1.752851442935308e-11,0.0005755447139015191,-1.803174086242625e-11,0.000580522740861858,-1.868209258618205e-11,0.0005830642918027438,-1.942142749794049e-11,0.0005856575280948697,-2.016385971370245e-11,0.0005882997677694735,-2.08501949420387e-11
0.0006098395065463002,-2.004731305042583e-11,0.000609889311976181,-1.979372724785944e-11,0.0006082409576880554,-1.948787521536638e-11,0.000605623759171897,-1.914238778874811e-11,0.0006026547216176251,-1.876968509051081e-11,0.0005998495930818914,-1.839201839337709e-11,0.0005949688506485573,-1.801073953936871e-11,0.0005907292724862853,-1.766452476112946e-11,0.0005833623372001541,-1.735086129285752e-11,0.0005857147262217772,-1.713327711700891e-11,0.0005919774711065455,-1.697787261250365e-11,0.0005934023686275063,-1.689132284421385e-11,0.0005906780250568768,-1.691800663701014e-11,0.000585540684826918,-1.710132304371514e-11,0.0005799129168916558,-1.747155503344154e-11,0.0005855447139015191,-1.796458510780382e-11,0.000590522740861858,-1.861103240121468e-11,0.0005930642918027438,-1.935161961349091e-11,0.0005956575280948697,-2.009877876145786e-11,0.0005982997677694735,-2.079164655659971e-11
0.0006198395065463002,-2.015280157514073e-11,0.000619889311976181,-1.990084793428785e-11,0.0006182409576880554,-1.959519199677919e-11,0.000615623759171897,-1.924737035146505e-11,0.0006126547216176252,-1.886955894483384e-11,0.0006098495930818914,-1.848148182589281e-11,0.0006049688506485573,-1.808631754965687e-11,0.0006007292724862853,-1.772441285245727e-11,0.0005933623372001541,-1.73926563147522e-11,0.0005957147262217773,-1.715999633434595e-11,0.0006019774711065456,-1.699111946488692e-11,0.0006034023686275063,-1.688925230413207e-11,0.0006006780250568768,-1.689888950656776e-11,0.000595540684826918,-1.706444886336345e-11,0.0005899129168916559,-1.741793700512353e-11,0.0005955447139015191,-1.79003852364276e-11,0.000600522740861858,-1.854218026505505e-11,0.0006030642918027438,-1.92833715566349e-11,0.0006056575280948697,-2.003474842815859e-11,0.0006082997677694735,-2.073380685521552e-11
0.0006298395065463002,-2.025822552733466e-11,0.000629889311976181,-2.000812685894069e-11,0.0006282409576880554,-1.970298950600229e-11,0.0006256237591718971,-1.935314745275542e-11,0.0006226547216176252,-1.897081882623241e-11,0.0006198495930818914,-1.857362049673547e-11,0.0006149688506485574,-1.816503000651915e-11,0.0006107292724862853,-1.778779779132811e-11,0.0006033623372001542,-1.743814425973617e-11,0.0006057147262217773,-1.719064870548378e-11,0.0006119774711065456,-1.700854087018771e-11,0.0006134023686275063,-1.68914381936766e-11,0.0006106780250568768,-1.688394238575782e-11,0.0006055406848269181,-1.703149774411945e-11,0.0005999129168916559,-1.736783316649326e-11,0.0006055447139015191,-1.783930913383271e-11,0.000610522740861858,-1.8475696134357e-11,0.0006130642918027438,-1.921681723286435e-11,0.0006156575280948697,-1.997187434105779e-11,0.0006182997677694735,-2.067675742426223e-11
