/net7 X,/net7 Y,/I_60/OUT X,/I_60/OUT Y,/I_120/OUT X,/I_120/OUT Y,/I_180/OUT X,/I_180/OUT Y,/I_240/OUT X,/I_240/OUT Y,/I_300/OUT X,/I_300/OUT Y,/I_600/OUT X,/I_600/OUT Y,/I_540/OUT X,/I_540/OUT Y,/I_480/OUT X,/I_480/OUT Y,/I_420/OUT X,/I_420/OUT Y,/I_360/OUT X,/I_360/OUT Y
0.0001920228638660633,0.06159542722678734,0.0001920228638660633,-6.068296132243442e-11,0.0001920228638660633,-4.262032943901218e-11,0.0001920228638660633,-3.673428899642573e-11,0.0001920228638660633,-3.320849779620636e-11,0.0001920228638660633,-2.980947503135406e-11,0.0001920228638660633,-1.185666312094169e-11,0.0001920228638660633,-1.553122528460434e-11,0.0001920228638660633,-1.909839910712527e-11,0.0001920228638660633,-2.312552243854241e-11,0.0001920228638660633,-2.648973151511236e-11
0.0002020228638660633,0.05959542722678735,0.0002020228638660633,-5.84559364242536e-11,0.0002020228638660633,-4.07299864013058e-11,0.0002020228638660633,-3.510264843313288e-11,0.0002020228638660633,-3.170857777023717e-11,0.0002020228638660633,-2.840966306912237e-11,0.0002020228638660633,-1.091480198624616e-11,0.0002020228638660633,-1.449586356422035e-11,0.0002020228638660633,-1.79727851846985e-11,0.0002020228638660633,-2.189933985421674e-11,0.0002020228638660633,-2.517819786458274e-11
0.0002120228638660633,0.05759542722678734,0.0002120228638660633,-5.62280881978455e-11,0.0002120228638660633,-3.885989426044326e-11,0.0002120228638660633,-3.349658265892315e-11,0.0002120228638660633,-3.02351747177765e-11,0.0002120228638660633,-2.703619889948202e-11,0.0002120228638660633,-9.992371976545974e-12,0.0002120228638660633,-1.348190310644178e-11,0.0002120228638660633,-1.687022548268638e-11,0.0002120228638660633,-2.069773113155553e-11,0.0002120228638660633,-2.389228917005877e-11
0.0002220228638660633,0.05559542722678734,0.0002220228638660633,-5.400198185625934e-11,0.0002220228638660633,-3.701143382841229e-11,0.0002220228638660633,-3.19169766442113e-11,0.0002220228638660633,-2.87890135736845e-11,0.0002220228638660633,-2.568970486422256e-11,0.0002220228638660633,-9.089570655956438e-12,0.0002220228638660633,-1.248962945575647e-11,0.0002220228638660633,-1.579109061248353e-11,0.0002220228638660633,-1.952116363632007e-11,0.0002220228638660633,-2.263254761940456e-11
0.0002320228638660633,0.05359542722678734,0.0002320228638660633,-5.178013141334666e-11,0.0002320228638660633,-3.518586464839354e-11,0.0002320228638660633,-3.036458785978433e-11,0.0002320228638660633,-2.737069611612672e-11,0.0002320228638660633,-2.437068468960587e-11,0.0002320228638660633,-8.206505327491424e-12,0.0002320228638660633,-1.15192290539331e-11,0.0002320228638660633,-1.473564594097252e-11,0.0002320228638660633,-1.836999414164645e-11,0.0002320228638660633,-2.139940085547098e-11
0.0002420228638660633,0.05159542722678734,0.0002420228638660633,-4.956498889356743e-11,0.0002420228638660633,-3.338432513383278e-11,0.0002420228638660633,-2.884004799136157e-11,0.0002420228638660633,-2.598070314654569e-11,0.0002420228638660633,-2.307952593603837e-11,0.0002420228638660633,-7.343197411389942e-12,0.0002420228638660633,-1.0570792946816e-11,0.0002420228638660633,-1.370405479746338e-11,0.0002420228638660633,-1.724447164947933e-11,0.0002420228638660633,-2.019316460549109e-11
0.0002520228638660633,0.04959542722678734,0.0002520228638660633,-4.735893508374027e-11,0.0002520228638660633,-3.160783366100755e-11,0.0002520228638660633,-2.734386532565347e-11,0.0002520228638660633,-2.461939726452105e-11,0.0002520228638660633,-2.181650300922522e-11,0.0002520228638660633,-6.499587418476696e-12,0.0002520228638660633,-9.644321111952199e-12,0.0002520228638660633,-1.269638228638081e-11,0.0002520228638660633,-1.61447407898871e-11,0.0002520228638660633,-1.901404587060254e-11
0.0002620228638660634,0.04759542722678733,0.0002620228638660634,-4.516427191053994e-11,0.0002620228638660634,-2.98572904311232e-11,0.0002620228638660634,-2.587642769750678e-11,0.0002620228638660634,-2.328702615097261e-11,0.0002620228638660634,-2.058178065623589e-11,0.0002620228638660634,-5.67554040464399e-12,0.0002620228638660634,-8.739727312500426e-12,0.0002620228638660634,-1.171259962120092e-11,0.0002620228638660634,-1.507084572182076e-11,0.0002620228638660634,-1.786214660066031e-11
0.0002720228638660634,0.04559542722678733,0.0002720228638660634,-4.298321720660142e-11,0.0002720228638660634,-2.81334799142147e-11,0.0002720228638660634,-2.44380059301951e-11,0.0002720228638660634,-2.198372630957937e-11,0.0002720228638660634,-1.937541790337359e-11,0.0002720228638660634,-4.870851813486471e-12,0.0002720228638660634,-7.856844416955406e-12,0.0002720228638660634,-1.075258892641003e-11,0.0002720228638660634,-1.402273449107849e-11,0.0002720228638660634,-1.673746781374508e-11
0.0002820228638660634,0.04359542722678732,0.0002820228638660634,-4.08179006020395e-11,0.0002820228638660634,-2.643707373445852e-11,0.0002820228638660634,-2.302875768581226e-11,0.0002820228638660634,-2.070952719831419e-11,0.0002820228638660634,-1.819737237572237e-11,0.0002820228638660634,-4.085253600753002e-12,0.0002820228638660634,-6.995430127856661e-12,0.0002820228638660634,-9.816148456610649e-12,0.0002820228638660634,-1.30002637917757e-11,0.0002820228638660634,-1.563991410299718e-11
0.0002920228638660634,0.04159542722678732,0.0002920228638660634,-3.867036124942417e-11,0.0002920228638660634,-2.47686337885244e-11,0.0002920228638660634,-2.164873161357647e-11,0.0002920228638660634,-1.946435566150238e-11,0.0002920228638660634,-1.704750491590032e-11,0.0002920228638660634,-3.318420502767663e-12,0.0002920228638660634,-6.155173023634818e-12,0.0002920228638660634,-8.902998168254613e-12,0.0002920228638660634,-1.200320405266533e-11,0.0002920228638660634,-1.456929845486432e-11
0.0003020228638660635,0.03959542722678731,0.0003020228638660635,-3.654254707714756e-11,0.0003020228638660635,-2.312861535460977e-11,0.0003020228638660635,-2.02978717022959e-11,0.0003020228638660635,-1.824804059102578e-11,0.0003020228638660635,-1.592558443520581e-11,0.0003020228638660635,-2.569976323147997e-12,0.0003020228638660635,-5.335698789802869e-12,0.0003020228638660635,-8.012785570225355e-12,0.0003020228638660635,-1.103124479710944e-11,0.0003020228638660635,-1.352534730686099e-11
0.0003120228638660635,0.03759542722678731,0.0003120228638660635,-3.443631536696804e-11,0.0003120228638660635,-2.151736996525791e-11,0.0003120228638660635,-1.897602175503857e-11,0.0003120228638660635,-1.706031775342123e-11,0.0003120228638660635,-1.483129294337529e-11,0.0003120228638660635,-1.83950013325823e-12,0.0003120228638660635,-4.536576537418293e-12,0.0003120228638660635,-7.145091765594889e-12,0.0003120228638660635,-1.00840002327224e-11,0.0003120228638660635,-1.250770581116359e-11
0.0003220228638660635,0.0355954272267873,0.0003220228638660635,-3.235343433637367e-11,0.0003220228638660635,-1.993514782944865e-11,0.0003220228638660635,-1.768292991931604e-11,0.0003220228638660635,-1.590083473659604e-11,0.0003220228638660635,-1.376423072487936e-11,0.0003220228638660635,-1.12653230135671e-12,0.0003220228638660635,-3.75732511656886e-12,0.0003220228638660635,-6.299437604950901e-12,0.0003220228638660635,-9.161015022358558e-12,0.0003220228638660635,-1.151594327742572e-11
0.0003320228638660635,0.03359542722678729,0.0003320228638660635,-3.029558525100293e-11,0.0003320228638660635,-1.838209958045082e-11,0.0003320228638660635,-1.641825320984232e-11,0.0003320228638660635,-1.476915598796671e-11,0.0003320228638660635,-1.27239216504116e-11,0.0003320228638660635,-4.305801605499545e-13,0.0003320228638660635,-2.997419335586314e-12,0.0003320228638660635,-5.475289875984131e-12,0.0003320228638660635,-8.261770163771609e-12,0.0003320228638660635,-1.05495587564459e-11
0.0003420228638660636,0.03159542722678729,0.0003420228638660636,-2.826436452835696e-11,0.0003420228638660636,-1.685827716181876e-11,0.0003420228638660636,-1.51815619974478e-11,0.0003420228638660636,-1.366476793399553e-11,0.0003420228638660636,-1.170981858812548e-11,0.0003420228638660636,2.488766346834861e-13,0.0003420228638660636,-2.256295988651943e-12,0.0003420228638660636,-4.672067460689983e-12,0.0003420228638660636,-7.385688926111167e-12,0.0003420228638660636,-9.607986708819714e-12
0.0003520228638660636,0.02959542722678728,0.0003520228638660636,-2.626128520814284e-11,0.0003520228638660636,-1.536363368074972e-11,0.0003520228638660636,-1.397234446289761e-11,0.0003520228638660636,-1.258708416397434e-11,0.0003520228638660636,-1.072130887645982e-11,0.0003520228638660636,9.139684486771491e-13,0.0003520228638660636,-1.533359674198237e-12,0.0003520228638660636,-3.889147389450485e-12,0.0003520228638660636,-6.532142789020009e-12,0.0003520228638660636,-8.690602716320875e-12
0.0003620228638660636,0.02759542722678729,0.0003620228638660636,-2.428777706948181e-11,0.0003620228638660636,-1.389802216156901e-11,0.0003620228638660636,-1.279001100698688e-11,0.0003620228638660636,-1.153545063984458e-11,0.0003620228638660636,-9.757719819149214e-12,0.0003620228638660636,1.569401221256038e-12,0.0003620228638660636,-8.279882208960756e-13,0.0003620228638660636,-3.125870723281067e-12,0.0003620228638660636,-5.700457335422439e-12,0.0003620228638660636,-7.796729195419682e-12
