/I_270/OUTA X,/I_270/OUTA Y,/I_405/OUTA X,/I_405/OUTA Y,/I_540/OUTA X,/I_540/OUTA Y,/I_675/OUTA X,/I_675/OUTA Y,/I_810/OUTA X,/I_810/OUTA Y,/I_945/OUTA X,/I_945/OUTA Y,/I_1080/OUTA X,/I_1080/OUTA Y,/I_1215/OUTA X,/I_1215/OUTA Y,/I_1350/IN X,/I_1350/IN Y
6.512535451998528e-05,2.923551426545328e-11,6.512535451998528e-05,3.302264298137291e-11,6.512535451998528e-05,3.865899824350265e-11,6.512535451998528e-05,4.576639741732449e-11,6.512535451998528e-05,5.25641613293123e-11,6.512535451998528e-05,5.903697820309232e-11,6.512535451998528e-05,6.519384119808054e-11,6.512535451998528e-05,7.105132644836695e-11,6.512535451998528e-05,-1.739498581920059e-10
7.512535451998528e-05,2.925647239349636e-11,7.512535451998528e-05,3.304589055042903e-11,7.512535451998528e-05,3.868562232506899e-11,7.512535451998528e-05,4.579708604890361e-11,7.512535451998528e-05,5.259853727904013e-11,7.512535451998528e-05,5.907467514295599e-11,7.512535451998528e-05,6.523451883380554e-11,7.512535451998528e-05,7.109467408660299e-11,7.512535451998528e-05,-1.699498581920059e-10
8.512535451998528e-05,2.927836022451537e-11,8.512535451998528e-05,3.307016877171373e-11,8.512535451998528e-05,3.871342591915564e-11,8.512535451998528e-05,4.58291331112048e-11,8.512535451998528e-05,5.263443362541799e-11,8.512535451998528e-05,5.911403802680955e-11,8.512535451998528e-05,6.527699274308567e-11,8.512535451998528e-05,7.113993446330378e-11,8.512535451998528e-05,-1.659498581920059e-10
9.512535451998528e-05,2.930124226085425e-11,9.512535451998528e-05,3.309554907329813e-11,9.512535451998528e-05,3.874249068238239e-11,9.512535451998528e-05,4.586263254559701e-11,9.512535451998528e-05,5.26719554044693e-11,9.512535451998528e-05,5.915518183558838e-11,9.512535451998528e-05,6.532138678829831e-11,9.512535451998528e-05,7.118723935532017e-11,9.512535451998528e-05,-1.619498581920059e-10
0.0001051253545199853,2.932518948709768e-11,0.0001051253545199853,3.312211008603489e-11,0.0001051253545199853,3.877290652495665e-11,0.0001051253545199853,4.589768780018161e-11,0.0001051253545199853,5.271121829087988e-11,0.0001051253545199853,5.919823320388513e-11,0.0001051253545199853,6.536783739259034e-11,0.0001051253545199853,7.123673390951436e-11,0.0001051253545199853,-1.579498581920059e-10
0.0001151253545199853,2.935027993222439e-11,0.0001151253545199853,3.314993824647198e-11,0.0001151253545199853,3.880477228204857e-11,0.0001151253545199853,4.593441258728901e-11,0.0001151253545199853,5.275234943069641e-11,0.0001151253545199853,5.924333131763862e-11,0.0001151253545199853,6.541649449319222e-11,0.0001151253545199853,7.128857764321708e-11,0.0001151253545199853,-1.539498581920059e-10
0.0001251253545199853,2.937659951157158e-11,0.0001251253545199853,3.317912872153038e-11,0.0001251253545199853,3.883819676381812e-11,0.0001251253545199853,4.597293208529832e-11,0.0001251253545199853,5.279548877927074e-11,0.0001251253545199853,5.929062937305199e-11,0.0001251253545199853,6.546752310730867e-11,0.0001251253545199853,7.13429461044457e-11,0.0001251253545199853,-1.499498581920059e-10
0.0001351253545199853,2.940424305692306e-11,0.0001351253545199853,3.320978654759679e-11,0.0001351253545199853,3.887330005553794e-11,0.0001351253545199853,4.601338443162207e-11,0.0001351253545199853,5.284079076764188e-11,0.0001351253545199853,5.934029639764806e-11,0.0001351253545199853,6.552110529060588e-11,0.0001351253545199853,7.140003295218015e-11,0.0001351253545199853,-1.459498581920059e-10
0.0001451253545199853,2.943331551440777e-11,0.0001451253545199853,3.324202795607531e-11,0.0001451253545199853,3.891021503120435e-11,0.0001451253545199853,4.605592246108987e-11,0.0001451253545199853,5.288842624295738e-11,0.0001451253545199853,5.93925193708715e-11,0.0001451253545199853,6.55774424178905e-11,0.0001451253545199853,7.146005237892659e-11,0.0001451253545199853,-1.419498581920059e-10
0.0001551253545199853,2.946393333650579e-11,0.0001551253545199853,3.327598191327298e-11,0.0001551253545199853,3.894908911140464e-11,0.0001551253545199853,4.610071572441038e-11,0.0001551253545199853,5.293858472100251e-11,0.0001551253545199853,5.944750568525455e-11,0.0001551253545199853,6.563675782952877e-11,0.0001551253545199853,7.152324192125096e-11,0.0001551253545199853,-1.379498581920059e-10
