/I1/IN (VY=-0.1) X,/I1/IN (VY=-0.1) Y,/I1/IN (VY=-0.08947368) X,/I1/IN (VY=-0.08947368) Y,/I1/IN (VY=-0.07894737) X,/I1/IN (VY=-0.07894737) Y,/I1/IN (VY=-0.06842105) X,/I1/IN (VY=-0.06842105) Y,/I1/IN (VY=-0.05789474) X,/I1/IN (VY=-0.05789474) Y,/I1/IN (VY=-0.04736842) X,/I1/IN (VY=-0.04736842) Y,/I1/IN (VY=-0.03684211) X,/I1/IN (VY=-0.03684211) Y,/I1/IN (VY=-0.02631579) X,/I1/IN (VY=-0.02631579) Y,/I1/IN (VY=-0.01578947) X,/I1/IN (VY=-0.01578947) Y,/I1/IN (VY=-0.005263158) X,/I1/IN (VY=-0.005263158) Y,/I1/IN (VY=0.005263158) X,/I1/IN (VY=0.005263158) Y,/I1/IN (VY=0.01578947) X,/I1/IN (VY=0.01578947) Y,/I1/IN (VY=0.02631579) X,/I1/IN (VY=0.02631579) Y,/I1/IN (VY=0.03684211) X,/I1/IN (VY=0.03684211) Y,/I1/IN (VY=0.04736842) X,/I1/IN (VY=0.04736842) Y,/I1/IN (VY=0.05789474) X,/I1/IN (VY=0.05789474) Y,/I1/IN (VY=0.06842105) X,/I1/IN (VY=0.06842105) Y,/I1/IN (VY=0.07894737) X,/I1/IN (VY=0.07894737) Y,/I1/IN (VY=0.08947368) X,/I1/IN (VY=0.08947368) Y,/I1/IN (VY=0.1) X,/I1/IN (VY=0.1) Y
0.0001144771642063275,-3.58835811081528e-10,0.0001144771642063272,-3.568974474263039e-10,0.0001144771642063269,-3.550745616917828e-10,0.0001144771642063319,-3.534530170065311e-10,0.0001144771642063286,-3.521094454205223e-10,0.0001144771642063284,-3.511234598872231e-10,0.0001144771642063281,-3.505998553801156e-10,0.0001144771642063322,-3.507049579934234e-10,0.0001144771642063334,-3.517035750371503e-10,0.0001144771642063334,-3.539708880533082e-10,0.0001144771642063364,-3.579753068014322e-10,0.0001144771642063364,-3.642856632684082e-10,0.0001144771642063375,-3.73473992687719e-10,0.0001144771642063375,-3.858489312035356e-10,0.0001144771642063378,-4.014247925774581e-10,0.0001144771642063378,-4.201611851289814e-10,0.000114477164206337,-4.416782404444905e-10,0.0001144771642063381,-4.652424927440945e-10,0.0001144771642063384,-4.898565132447674e-10,0.0001144771642063386,-5.14440094882457e-10
0.0001344771642063275,-3.592464381290164e-10,0.0001344771642063272,-3.570085483760375e-10,0.000134477164206327,-3.548535498326311e-10,0.0001344771642063319,-3.528696845071402e-10,0.0001344771642063286,-3.511378980803176e-10,0.0001344771642063284,-3.497436997314399e-10,0.0001344771642063281,-3.487996424659754e-10,0.0001344771642063322,-3.484823888304421e-10,0.0001344771642063334,-3.49069558188666e-10,0.0001344771642063334,-3.509512705295901e-10,0.0001344771642063364,-3.54612652770236e-10,0.0001344771642063364,-3.606422388464335e-10,0.0001344771642063375,-3.696333116263045e-10,0.0001344771642063375,-3.819874883727848e-10,0.0001344771642063378,-3.976931769741808e-10,0.0001344771642063378,-4.167008932708979e-10,0.000134477164206337,-4.386190889984068e-10,0.0001344771642063381,-4.626829878947257e-10,0.0001344771642063384,-4.878492711223557e-10,0.0001344771642063386,-5.130203211461229e-10
0.0001544771642063275,-3.597334035274051e-10,0.0001544771642063272,-3.571856417246709e-10,0.000154477164206327,-3.546872139617134e-10,0.0001544771642063319,-3.523287832548122e-10,0.0001544771642063286,-3.501957820454713e-10,0.0001544771642063284,-3.483799018615869e-10,0.0001544771642063281,-3.470018643106426e-10,0.0001544771642063322,-3.462488127705494e-10,0.0001544771642063334,-3.464115249245216e-10,0.0001544771642063334,-3.478953424670469e-10,0.0001544771642063364,-3.512023544771817e-10,0.0001544771642063364,-3.569409583710185e-10,0.0001544771642063375,-3.657261898107728e-10,0.0001544771642063375,-3.780370103516569e-10,0.0001544771642063378,-3.938714846709312e-10,0.0001544771642063378,-4.131544853540401e-10,0.000154477164206337,-4.354829384079708e-10,0.0001544771642063381,-4.600598252320376e-10,0.0001544771642063384,-4.858012874349576e-10,0.0001544771642063386,-5.115823016954249e-10
0.0001744771642063275,-3.602991065908931e-10,0.0001744771642063272,-3.5743245652913e-10,0.000174477164206327,-3.545806401528226e-10,0.0001744771642063319,-3.518369741344973e-10,0.0001744771642063286,-3.492914152526343e-10,0.0001744771642063284,-3.470421506426983e-10,0.0001744771642063281,-3.45218177863957e-10,0.0001744771642063322,-3.440176797139518e-10,0.0001744771642063334,-3.437449500214595e-10,0.0001744771642063334,-3.448207956022267e-10,0.0001744771642063364,-3.477643566904617e-10,0.0001744771642063364,-3.532037143200799e-10,0.0001744771642063375,-3.617748417377882e-10,0.0001744771642063375,-3.740187685246333e-10,0.0001744771642063378,-3.899791292722822e-10,0.0001744771642063378,-4.095381482879934e-10,0.000174477164206337,-4.322814438903265e-10,0.0001744771642063381,-4.573790919691658e-10,0.0001744771642063384,-4.837266548466238e-10,0.0001744771642063386,-5.101308282424445e-10
0.0001944771642063275,-3.609466105171055e-10,0.0001944771642063272,-3.577521755803711e-10,0.0001944771642063269,-3.54537058876803e-10,0.0001944771642063319,-3.5139743268549e-10,0.0001944771642063286,-3.484280208482395e-10,0.0001944771642063284,-3.457336827084853e-10,0.0001944771642063281,-3.43452329194567e-10,0.0001944771642063322,-3.417933742960074e-10,0.0001944771642063334,-3.410749353394573e-10,0.0001944771642063334,-3.417335931874903e-10,0.0001944771642063364,-3.443055840324141e-10,0.0001944771642063364,-3.494383652607947e-10,0.0001944771642063375,-3.577887838895121e-10,0.0001944771642063375,-3.699407425550079e-10,0.0001944771642063378,-3.860240573215948e-10,0.0001944771642063378,-4.058595568768784e-10,0.000194477164206337,-4.29022053593687e-10,0.0001944771642063381,-4.546515020558553e-10,0.0001944771642063384,-4.816358869684137e-10,0.0001944771642063386,-5.086660398840733e-10
0.0002144771642063275,-3.616782241892712e-10,0.0002144771642063272,-3.581485719965105e-10,0.0002144771642063269,-3.545617900016726e-10,0.0002144771642063319,-3.5101709795279e-10,0.0002144771642063286,-3.476142590717777e-10,0.0002144771642063284,-3.444650991048312e-10,0.0002144771642063281,-3.417166096478127e-10,0.0002144771642063322,-3.395901428335509e-10,0.0002144771642063334,-3.384179752067816e-10,0.0002144771642063334,-3.38652693827871e-10,0.0002144771642063364,-3.408475077532738e-10,0.0002144771642063364,-3.45668628830578e-10,0.0002144771642063375,-3.537924605689735e-10,0.0002144771642063375,-3.658289079160215e-10,0.0002144771642063378,-3.820281775210208e-10,0.0002144771642063378,-4.021371462162341e-10,0.000214477164206337,-4.257182701289937e-10,0.0002144771642063381,-4.519039494520467e-10,0.0002144771642063384,-4.795299504663566e-10,0.0002144771642063386,-5.07192038137832e-10
0.0002344771642063275,-3.624966825488489e-10,0.0002344771642063272,-3.586248212084794e-10,0.0002344771642063269,-3.546584098889456e-10,0.0002344771642063319,-3.506999174843859e-10,0.0002344771642063286,-3.46854398110115e-10,0.0002344771642063284,-3.432411209859258e-10,0.0002344771642063281,-3.400166992587461e-10,0.0002344771642063322,-3.374147084153425e-10,0.0002344771642063334,-3.357820019310101e-10,0.0002344771642063334,-3.355874001298894e-10,0.0002344771642063364,-3.374008725398069e-10,0.0002344771642063364,-3.419066220900505e-10,0.0002344771642063375,-3.497998800492428e-10,0.0002344771642063375,-3.617111152627923e-10,0.0002344771642063378,-3.780039912374088e-10,0.0002344771642063378,-3.983824762793224e-10,0.0002344771642063369,-4.223807841204305e-10,0.0002344771642063381,-4.491518770587966e-10,0.0002344771642063384,-4.77419022439558e-10,0.0002344771642063386,-5.057052535157669e-10
0.0002544771642063275,-3.634043628734497e-10,0.0002544771642063272,-3.591849505457644e-10,0.0002544771642063269,-3.548326725023167e-10,0.0002544771642063319,-3.504534475441492e-10,0.0002544771642063286,-3.461579207187829e-10,0.0002544771642063284,-3.420732340724386e-10,0.0002544771642063281,-3.383660569767979e-10,0.0002544771642063323,-3.35282681549287e-10,0.0002544771642063334,-3.331851043276315e-10,0.0002544771642063334,-3.325585181471288e-10,0.0002544771642063364,-3.339892036776914e-10,0.0002544771642063364,-3.381782791810321e-10,0.0002544771642063375,-3.458380295766304e-10,0.0002544771642063375,-3.57619350739793e-10,0.0002544771642063378,-3.73976168994121e-10,0.0002544771642063378,-3.946164405905816e-10,0.000254477164206337,-4.190440971722746e-10,0.0002544771642063381,-4.464036947055505e-10,0.0002544771642063384,-4.753046374385904e-10,0.0002544771642063386,-5.042080465732413e-10
0.0002744771642063275,-3.644046574604947e-10,0.0002744771642063272,-3.598331225912003e-10,0.0002744771642063269,-3.550894875740398e-10,0.0002744771642063319,-3.502833268199006e-10,0.0002744771642063286,-3.455312298988197e-10,0.0002744771642063284,-3.409686712734386e-10,0.0002744771642063281,-3.367732370784457e-10,0.0002744771642063323,-3.33204151118139e-10,0.0002744771642063334,-3.306390198556532e-10,0.0002744771642063334,-3.295795759252253e-10,0.0002744771642063364,-3.306278547778611e-10,0.0002744771642063364,-3.345006207421785e-10,0.0002744771642063375,-3.41925870284834e-10,0.0002744771642063375,-3.535718190790125e-10,0.0002744771642063378,-3.699621975474744e-10,0.0002744771642063378,-3.908548959810441e-10,0.000274477164206337,-4.157358261976411e-10,0.0002744771642063381,-4.436726261864159e-10,0.0002744771642063384,-4.731973076230207e-10,0.0002744771642063386,-5.027006537446954e-10
0.0002944771642063275,-3.655011979187429e-10,0.0002944771642063272,-3.605748040298416e-10,0.0002944771642063269,-3.554362484230328e-10,0.0002944771642063319,-3.501989488495657e-10,0.0002944771642063286,-3.449858691266018e-10,0.0002944771642063284,-3.399412882774578e-10,0.0002944771642063281,-3.352541413996343e-10,0.0002944771642063323,-3.311974649503927e-10,0.0002944771642063334,-3.28164801414858e-10,0.0002944771642063334,-3.266744693240515e-10,0.0002944771642063364,-3.273435403528516e-10,0.0002944771642063364,-3.309028527054898e-10,0.0002944771642063375,-3.380937075995264e-10,0.0002944771642063375,-3.496005350895288e-10,0.0002944771642063378,-3.659901712018093e-10,0.0002944771642063378,-3.871328723877456e-10,0.000294477164206337,-4.124741732074764e-10,0.0002944771642063381,-4.409685858683251e-10,0.0002944771642063384,-4.710996980863589e-10,0.0002944771642063386,-5.011870623087647e-10
