/I_135/OUTA X,/I_135/OUTA Y,/I_270/OUTA X,/I_270/OUTA Y,/I_405/OUTA X,/I_405/OUTA Y,/I_540/OUTA X,/I_540/OUTA Y,/I_675/OUTA X,/I_675/OUTA Y,/I_1350/OUTA X,/I_1350/OUTA Y,/I_1215/OUTA X,/I_1215/OUTA Y,/I_1080/OUTA X,/I_1080/OUTA Y,/I_945/OUTA X,/I_945/OUTA Y,/I_810/OUTA X,/I_810/OUTA Y,/I_135/IN X,/I_135/IN Y
6.50637616175987e-05,-2.298388616024124e-12,6.50637616175987e-05,-7.220982333477217e-12,6.50637616175987e-05,-1.345083585729146e-11,6.50637616175987e-05,-1.976417014847008e-11,6.50637616175987e-05,-2.578096765442758e-11,6.50637616175987e-05,-4.957303719129302e-11,6.50637616175987e-05,-4.552483150980201e-11,6.50637616175987e-05,-4.125972115356675e-11,6.50637616175987e-05,-3.672278997376281e-11,6.50637616175987e-05,-3.14280193171562e-11,6.50637616175987e-05,-1.739744953529605e-10
7.50637616175987e-05,-2.30776482869035e-12,7.50637616175987e-05,-7.249375183645394e-12,7.50637616175987e-05,-1.350115772284663e-11,7.50637616175987e-05,-1.983533533061837e-11,7.50637616175987e-05,-2.587109381132708e-11,7.50637616175987e-05,-4.97311719765271e-11,7.50637616175987e-05,-4.567213902498778e-11,7.50637616175987e-05,-4.139530305386538e-11,7.50637616175987e-05,-3.684553653653235e-11,7.50637616175987e-05,-3.15352654458845e-11,7.50637616175987e-05,-1.699744953529605e-10
8.50637616175987e-05,-2.317536322542142e-12,8.50637616175987e-05,-7.278949492071289e-12,8.50637616175987e-05,-1.355355753819995e-11,8.50637616175987e-05,-1.990942495787445e-11,8.50637616175987e-05,-2.59649102619971e-11,8.50637616175987e-05,-4.989570522678992e-11,8.50637616175987e-05,-4.582541854179128e-11,8.50637616175987e-05,-4.153639290810774e-11,8.50637616175987e-05,-3.69732807192659e-11,8.50637616175987e-05,-3.164688968736364e-11,8.50637616175987e-05,-1.659744953529605e-10
9.506376161759869e-05,-2.327729342215441e-12,9.506376161759869e-05,-7.309782673772162e-12,9.506376161759869e-05,-1.3608170292579e-11,9.506376161759869e-05,-1.998662779980892e-11,9.506376161759869e-05,-2.606265389784154e-11,9.506376161759869e-05,-5.006703929802675e-11,9.506376161759869e-05,-4.598504666019792e-11,9.506376161759869e-05,-4.168333931151102e-11,9.506376161759869e-05,-3.710634015938362e-11,9.506376161759869e-05,-3.17631716463146e-11,9.506376161759869e-05,-1.619744953529605e-10
0.0001050637616175987,-2.338372566859883e-12,0.0001050637616175987,-7.341959333805924e-12,0.0001050637616175987,-1.366514363626756e-11,0.0001050637616175987,-2.006715056369754e-11,0.0001050637616175987,-2.616458441932186e-11,0.0001050637616175987,-5.024561578762233e-11,0.0001050637616175987,-4.61514370871844e-11,0.0001050637616175987,-4.183652527784533e-11,0.0001050637616175987,-3.724506371723944e-11,0.0001050637616175987,-3.188441816852555e-11,0.0001050637616175987,-1.579744953529605e-10
0.0001150637616175987,-2.349497392282894e-12,0.0001150637616175987,-7.375572017621218e-12,0.0001150637616175987,-1.372463902629573e-11,0.0001150637616175987,-2.015121928362028e-11,0.0001150637616175987,-2.627098586736316e-11,0.0001150637616175987,-5.043191921535642e-11,0.0001150637616175987,-4.632504340296503e-11,0.0001150637616175987,-4.199637041689723e-11,0.0001150637616175987,-3.738983331594503e-11,0.0001150637616175987,-3.201096499294221e-11,0.0001150637616175987,-1.539744953529605e-10
0.0001250637616175987,-2.361138253138339e-12,0.0001250637616175987,-7.410722121218369e-12,0.0001250637616175987,-1.378683325067058e-11,0.0001250637616175987,-2.023908136174916e-11,0.0001250637616175987,-2.638216905818932e-11,0.0001250637616175987,-5.06264799731717e-11,0.0001250637616175987,-4.650636199408693e-11,0.0001250637616175987,-4.216333385348939e-11,0.0001250637616175987,-3.754106680806824e-11,0.0001250637616175987,-3.214317945645603e-11,0.0001250637616175987,-1.499744953529605e-10
0.0001350637616175987,-2.373332997292503e-12,0.0001350637616175987,-7.447520970434085e-12,0.0001350637616175987,-1.385192028802232e-11,0.0001350637616175987,-2.033100814492152e-11,0.0001350637616175987,-2.649847477976938e-11,0.0001350637616175987,-5.082987906851604e-11,0.0001350637616175987,-4.669593666527765e-11,0.0001350637616175987,-4.233791863894323e-11,0.0001350637616175987,-3.769922210570447e-11,0.0001350637616175987,-3.228146420731826e-11,0.0001350637616175987,-1.459744953529605e-10
0.0001450637616175987,-2.386123321168839e-12,0.0001450637616175987,-7.486091076238791e-12,0.0001450637616175987,-1.392011347273014e-11,0.0001450637616175987,-2.042729793407777e-11,0.0001450637616175987,-2.662027755069048e-11,0.0001450637616175987,-5.104275426725762e-11,0.0001450637616175987,-4.689436445948888e-11,0.0001450637616175987,-4.252067718833555e-11,0.0001450637616175987,-3.786480216903168e-11,0.0001450637616175987,-3.242626162091995e-11,0.0001450637616175987,-1.419744953529605e-10
0.0001550637616175987,-2.399555275195713e-12,0.0001550637616175987,-7.526567588192266e-12,0.0001550637616175987,-1.399164799581475e-11,0.0001550637616175987,-2.052827945464576e-11,0.0001550637616175987,-2.674798995189552e-11,0.0001550637616175987,-5.126580731595987e-11,0.0001550637616175987,-4.710230244757025e-11,0.0001550637616175987,-4.271221758691895e-11,0.0001550637616175987,-3.803836076988249e-11,0.0001550637616175987,-3.257805889133587e-11,0.0001550637616175987,-1.379744953529605e-10
0.0001650637616175987,-2.413679851463103e-12,0.0001650637616175987,-7.569099980789503e-12,0.0001650637616175987,-1.406678380236641e-11,0.0001650637616175987,-2.063431587278367e-11,0.0001650637616175987,-2.688206763482305e-11,0.0001650637616175987,-5.149981228064292e-11,0.0001650637616175987,-4.732047556214868e-11,0.0001650637616175987,-4.291321086600425e-11,0.0001650637616175987,-3.822050914417933e-11,0.0001650637616175987,-3.273739391254565e-11,0.0001650637616175987,-1.339744953529605e-10
0.0001750637616175987,-2.428553669304494e-12,0.0001750637616175987,-7.613854017517613e-12,0.0001750637616175987,-1.414580896302303e-11,0.0001750637616175987,-2.074580946568394e-11,0.0001750637616175987,-2.702301514159845e-11,0.0001750637616175987,-5.174562520548667e-11,0.0001750637616175987,-4.754968567707924e-11,0.0001750637616175987,-4.312439944148648e-11,0.0001750637616175987,-3.841192371274247e-11,0.0001750637616175987,-3.290486210886441e-11,0.0001750637616175987,-1.299744953529605e-10
0.0001850637616175987,-2.444239778412476e-12,0.0001850637616175987,-7.661014047845036e-12,0.0001850637616175987,-1.422904361346338e-11,0.0001850637616175987,-2.086320707550676e-11,0.0001850637616175987,-2.717139269840583e-11,0.0001850637616175987,-5.200419535999809e-11,0.0001850637616175987,-4.779082218537152e-11,0.0001850637616175987,-4.334660694971085e-11,0.0001850637616175987,-3.861335508467354e-11,0.0001850637616175987,-3.308112440375917e-11,0.0001850637616175987,-1.259744953529605e-10
0.0001950637616175987,-2.460808603713657e-12,0.0001950637616175987,-7.71078570498948e-12,0.0001950637616175987,-1.431684457689992e-11,0.0001950637616175987,-2.098700650486917e-11,0.0001950637616175987,-2.732782417759678e-11,0.0001950637616175987,-5.22765783958044e-11,0.0001950637616175987,-4.804487437743381e-11,0.0001950637616175987,-4.358074976139063e-11,0.0001950637616175987,-3.882563860056855e-11,0.0001950637616175987,-3.326691655540359e-11,0.0001950637616175987,-1.219744953529605e-10
