/I_60/OUT X,/I_60/OUT Y,/I_120/OUT X,/I_120/OUT Y,/I_180/OUT X,/I_180/OUT Y,/I_240/OUT X,/I_240/OUT Y,/I_600/OUT X,/I_600/OUT Y,/I_540/OUT X,/I_540/OUT Y,/I_480/OUT X,/I_480/OUT Y,/I_420/OUT X,/I_420/OUT Y,/I_360/OUT X,/I_360/OUT Y,/net7 X,/net7 Y,/I_300/OUT X,/I_300/OUT Y
0.0001369215855471711,3.741959435502661e-11,0.0001369215855471711,3.58393897844275e-11,0.0001369215855471711,2.382663576756932e-11,0.0001369215855471711,1.921327236541343e-11,0.0001369215855471711,2.253408109531981e-11,0.0001369215855471711,2.106988947083077e-11,0.0001369215855471711,1.976917587481694e-11,0.0001369215855471711,1.846216913757723e-11,0.0001369215855471711,1.780778473633225e-11,0.0001369215855471711,0.0726156828905658,0.0001369215855471711,1.783144906272012e-11
0.0001469215855471711,3.635656503888743e-11,0.0001469215855471711,3.492743249741565e-11,0.0001469215855471711,2.318706618842674e-11,0.0001469215855471711,1.870719485470577e-11,0.0001469215855471711,2.220312565354496e-11,0.0001469215855471711,2.072654473313688e-11,0.0001469215855471711,1.941161461392378e-11,0.0001469215855471711,1.808612491025838e-11,0.0001469215855471711,1.740729617631469e-11,0.0001469215855471711,0.0706156828905658,0.0001469215855471711,1.739275659427037e-11
0.0001569215855471711,3.528327251969132e-11,0.0001569215855471711,3.400892637480893e-11,0.0001569215855471711,2.254440840251153e-11,0.0001569215855471711,1.819848544885009e-11,0.0001569215855471711,2.187026786482287e-11,0.0001569215855471711,2.038108099844795e-11,0.0001569215855471711,1.905176491833617e-11,0.0001569215855471711,1.770764058764673e-11,0.0001569215855471711,1.700429030473481e-11,0.0001569215855471711,0.0686156828905658,0.0001569215855471711,1.695150090561045e-11
0.000166921585547171,3.420069741206059e-11,0.000166921585547171,3.308469787501183e-11,0.000166921585547171,2.189915492003925e-11,0.000166921585547171,1.768747332320276e-11,0.000166921585547171,2.153568087059993e-11,0.000166921585547171,2.003367353921539e-11,0.000166921585547171,1.868980847374973e-11,0.000166921585547171,1.732690969799042e-11,0.000166921585547171,1.659898237434242e-11,0.000166921585547171,0.0666156828905658,0.000166921585547171,1.650793599457052e-11
0.000176921585547171,3.310982592106147e-11,0.000176921585547171,3.215556092124283e-11,0.000176921585547171,2.125177646054848e-11,0.000176921585547171,1.717446814351222e-11,0.000176921585547171,2.119952318461281e-11,0.000176921585547171,1.968448287897577e-11,0.000176921585547171,1.832591199170952e-11,0.000176921585547171,1.694411041371038e-11,0.000176921585547171,1.619157154540533e-11,0.000176921585547171,0.0646156828905658,0.000176921585547171,1.606229847669749e-11
0.000186921585547171,3.201164530812939e-11,0.000186921585547171,3.122231269392801e-11,0.000186921585547171,2.060271962123009e-11,0.000186921585547171,1.665975856081258e-11,0.000186921585547171,2.086193783218133e-11,0.000186921585547171,1.93336539182988e-11,0.000186921585547171,1.796022631090621e-11,0.000186921585547171,1.655940460990666e-11,0.000186921585547171,1.578223986274502e-11,0.000186921585547171,0.06261568289056579,0.000186921585547171,1.561480640814481e-11
0.000196921585547171,3.090713946496449e-11,0.000196921585547171,3.02857296371707e-11,0.000196921585547171,1.995240479130502e-11,0.000196921585547171,1.614361089916385e-11,0.000196921585547171,2.052305161264752e-11,0.000196921585547171,1.898131518563303e-11,0.000196921585547171,1.759288562694655e-11,0.000196921585547171,1.617293705651563e-11,0.000196921585547171,1.537115137646223e-11,0.000196921585547171,0.06061568289056579,0.000196921585547171,1.516565826924773e-11
0.000206921585547171,2.979728451824455e-11,0.000206921585547171,2.93465636197897e-11,0.000206921585547171,1.930122432086991e-11,0.000206921585547171,1.562626803686495e-11,0.000206921585547171,2.018297448326546e-11,0.000206921585547171,1.862757821159497e-11,0.000206921585547171,1.722400684904434e-11,0.000206921585547171,1.578483474306513e-11,0.000206921585547171,1.495845140492959e-11,0.000206921585547171,0.05861568289056579,0.000206921585547171,1.471503210824629e-11
0.000216921585547171,2.868304449186343e-11,0.000216921585547171,2.84055386319404e-11,0.000216921585547171,1.864954095183817e-11,0.000216921585547171,1.510794848205606e-11,0.000216921585547171,1.984179906276757e-11,0.000216921585547171,1.827253702499283e-11,0.000216921585547171,1.685368908198483e-11,0.000216921585547171,1.539520633411906e-11,0.000216921585547171,1.454426593866958e-11,0.000216921585547171,0.0566156828905658,0.000216921585547171,1.42630848440741e-11
0.000226921585547171,2.756536740643034e-11,0.000226921585547171,2.74633476071729e-11,0.000226921585547171,1.799768651606126e-11,0.000226921585547171,1.458884564182086e-11,0.000226921585547171,1.949960025311921e-11,0.000226921585547171,1.791626776897987e-11,0.000226921585547171,1.648201323193459e-11,0.000226921585547171,1.500414175423876e-11,0.000226921585547171,1.412870118351087e-11,0.000226921585547171,0.0546156828905658,0.000226921585547171,1.380995172684151e-11
0.000236921585547171,2.644518127494806e-11,0.000236921585547171,2.652064965708783e-11,0.000236921585547171,1.734596090413182e-11,0.000236921585547171,1.406912728581161e-11,0.000236921585547171,1.915643497837117e-11,0.000236921585547171,1.755882843674218e-11,0.000236921585547171,1.610904173540175e-11,0.000236921585547171,1.461171190160061e-11,0.000236921585547171,1.37118432425024e-11,0.000236921585547171,0.0526156828905658,0.000236921585547171,1.335574595565658e-11
0.0002469215855471711,2.532339038490741e-11,0.0002469215855471711,2.557806768676322e-11,0.0002469215855471711,1.669463131037457e-11,0.0002469215855471711,1.354893520487962e-11,0.0002469215855471711,1.881234204059114e-11,0.0002469215855471711,1.720025872674862e-11,0.0002469215855471711,1.573481841177922e-11,0.0002469215855471711,1.42179684909343e-11,0.0002469215855471711,1.329375793724853e-11,0.0002469215855471711,0.05061568289056579,0.0002469215855471711,1.290055845425691e-11
0.0002569215855471711,2.420087178075792e-11,0.0002569215855471711,2.463618641696897e-11,0.0002569215855471711,1.604393175812361e-11,0.0002569215855471711,1.302838506683467e-11,0.0002569215855471711,1.846734209388841e-11,0.0002569215855471711,1.684058001915632e-11,0.0002569215855471711,1.535936844118353e-11,0.0002569215855471711,1.382294402767184e-11,0.0002569215855471711,1.287449077018879e-11,0.0002569215855471711,0.04861568289056579,0.0002569215855471711,1.244445780612931e-11
0.0002669215855471711,2.307847196047939e-11,0.0002669215855471711,2.36955508398736e-11,0.0002669215855471711,1.539406290958507e-11,0.0002669215855471711,1.250756647212432e-11,0.0002669215855471711,1.812143773867894e-11,0.0002669215855471711,1.647979547579371e-11,0.0002669215855471711,1.498269847066478e-11,0.0002669215855471711,1.342665191642724e-11,0.0002669215855471711,1.245406703111806e-11,0.0002669215855471711,0.04661568289056578,0.0002669215855471711,1.198749035232226e-11
0.0002769215855471711,2.195700378747835e-11,0.0002769215855471711,2.275666512660003e-11,0.0002769215855471711,1.474519216355275e-11,0.0002769215855471711,1.198654321215392e-11,0.0002769215855471711,1.777461373912138e-11,0.0002769215855471711,1.611789026777408e-11,0.0002769215855471711,1.46047968526485e-11,0.0002769215855471711,1.302908670822432e-11,0.0002769215855471711,1.203249205207897e-11,0.0002769215855471711,0.04461568289056577,0.0002769215855471711,1.152968045513782e-11
0.0002869215855471712,2.083724361541421e-11,0.0002869215855471712,2.181999199686101e-11,0.0002869215855471712,1.409745404076511e-11,0.0002869215855471712,1.146535373212519e-11,0.0002869215855471712,1.742683736691151e-11,0.0002869215855471712,1.575483193397587e-11,0.0002869215855471712,1.422563401993678e-11,0.0002869215855471712,1.263022449054212e-11,0.0002869215855471712,1.160975161451839e-11,0.0002869215855471712,0.04261568289056577,0.0002869215855471712,1.107103093122358e-11
0.0002969215855471712,1.971992860008722e-11,0.0002969215855471712,2.088595254361341e-11,0.0002969215855471712,1.345095085305634e-11,0.0002969215855471712,1.094401179806763e-11,0.0002969215855471712,1.707805887384061e-11,0.0002969215855471712,1.539057087416139e-11,0.0002969215855471712,1.384516300091969e-11,0.0002969215855471712,1.223002342379117e-11,0.0002969215855471712,1.118581251142612e-11,0.0002969215855471712,0.04061568289056576,0.0002969215855471712,1.061152365593895e-11
0.0003069215855471712,1.860575416444091e-11,0.0003069215855471712,1.995492649713393e-11,0.0003069215855471712,1.280575364599318e-11,0.0003069215855471712,1.042250736409191e-11,0.0003069215855471712,1.672821209447098e-11,0.0003069215855471712,1.502504097797821e-11,0.0003069215855471712,1.34633200765611e-11,0.0003069215855471712,1.182842442620578e-11,0.0003069215855471712,1.076062326632696e-11,0.0003069215855471712,0.03861568289056576,0.0003069215855471712,1.015112033837205e-11
0.0003169215855471713,1.749537154741422e-11,0.0003169215855471713,1.902725289608427e-11,0.0003169215855471713,1.216190339848367e-11,0.0003169215855471713,9.900807632457786e-12,0.0003169215855471713,1.637721517803196e-11,0.0003169215855471713,1.465816039014753e-11,0.0003169215855471713,1.308002557937981e-11,0.0003169215855471713,1.142535200642452e-11,0.0003169215855471713,1.033411500597602e-11,0.0003169215855471713,0.03661568289056576,0.0003169215855471713,9.689763462510856e-12
0.0003269215855471713,1.638938536086018e-11,0.0003269215855471713,1.810323111711944e-11,0.0003269215855471713,1.151941245431248e-11,0.0003269215855471713,9.378858291126473e-12,0.0003269215855471713,1.602497144565866e-11,0.0003269215855471713,1.428983240764416e-11,0.0003269215855471713,1.269518483011829e-11,0.0003269215855471713,1.102071523805454e-11,0.0003269215855471713,9.906202481367689e-12,0.0003269215855471713,0.03461568289056574,0.0003269215855471713,9.227377386218749e-12
0.0003369215855471713,1.528835105690424e-11,0.0003369215855471713,1.718312219661642e-11,0.0003369215855471713,1.087826615116064e-11,0.0003369215855471713,8.856584909255701e-12,0.0003369215855471713,1.56713703652623e-11,0.0003369215855471713,1.391994650174761e-11,0.0003369215855471713,1.230868920385609e-11,0.0003369215855471713,1.061440886801418e-11,0.0003369215855471713,9.476785225202786e-12,0.0003369215855471713,0.03261568289056574,0.0003369215855471713,8.76386958257457e-12
