/I_135/OUTA X,/I_135/OUTA Y,/I_270/OUTA X,/I_270/OUTA Y,/I_405/OUTA X,/I_405/OUTA Y,/I_540/OUTA X,/I_540/OUTA Y,/I_675/OUTA X,/I_675/OUTA Y,/I_1350/OUTA X,/I_1350/OUTA Y,/I_1215/OUTA X,/I_1215/OUTA Y,/I_1080/OUTA X,/I_1080/OUTA Y,/I_945/OUTA X,/I_945/OUTA Y,/I_810/OUTA X,/I_810/OUTA Y,/I_135/IN X,/I_135/IN Y
6.540012462897147e-05,-7.684244780244934e-12,6.540012462897147e-05,-2.194853032399648e-11,6.540012462897147e-05,-3.822467174075807e-11,6.540012462897147e-05,-5.358811926539529e-11,6.540012462897147e-05,-6.744366067601152e-11,6.540012462897147e-05,-1.161703437413766e-10,6.540012462897147e-05,-1.084750722348119e-10,6.540012462897147e-05,-1.001289748028844e-10,6.540012462897147e-05,-9.095708611370745e-11,6.540012462897147e-05,-7.983330318850102e-11,6.540012462897147e-05,-1.738399501484114e-10
7.540012462897147e-05,-7.691787740930263e-12,7.540012462897147e-05,-2.196776072232967e-11,7.540012462897147e-05,-3.825572200899762e-11,7.540012462897147e-05,-5.362919340502371e-11,7.540012462897147e-05,-6.749290132318433e-11,7.540012462897147e-05,-1.162419194369635e-10,7.540012462897147e-05,-1.085437655642693e-10,7.540012462897147e-05,-1.001942729059132e-10,7.540012462897147e-05,-9.10183240562655e-11,7.540012462897147e-05,-7.988915015697955e-11,7.540012462897147e-05,-1.698399501484114e-10
8.540012462897147e-05,-7.699665096933264e-12,8.540012462897147e-05,-2.198784136386571e-11,8.540012462897147e-05,-3.828814233145645e-11,8.540012462897147e-05,-5.367207650406729e-11,8.540012462897147e-05,-6.754430736479155e-11,8.540012462897147e-05,-1.163166255823171e-10,8.540012462897147e-05,-1.086154659373027e-10,8.540012462897147e-05,-1.002624321134582e-10,8.540012462897147e-05,-9.108224774550777e-11,8.540012462897147e-05,-7.994744956131738e-11,8.540012462897147e-05,-1.658399501484114e-10
9.540012462897146e-05,-7.707899879506598e-12,9.540012462897146e-05,-2.200883070867456e-11,9.540012462897146e-05,-3.832202666842736e-11,9.540012462897146e-05,-5.37168923397484e-11,9.540012462897146e-05,-6.759802673242427e-11,9.540012462897146e-05,-1.163946748912798e-10,9.540012462897146e-05,-1.086903778589596e-10,9.540012462897146e-05,-1.003336471828587e-10,9.540012462897146e-05,-9.114904017323442e-11,9.540012462897146e-05,-8.000836870553655e-11,9.540012462897146e-05,-1.618399501484114e-10
0.0001054001246289715,-7.716517288231171e-12,0.0001054001246289715,-2.203079268147911e-11,0.0001054001246289715,-3.835747774891323e-11,0.0001054001246289715,-5.376377626234688e-11,0.0001054001246289715,-6.765422118262108e-11,0.0001054001246289715,-1.16476299851122e-10,0.0001054001246289715,-1.087687248623001e-10,0.0001054001246289715,-1.004081310109954e-10,0.0001054001246289715,-9.12189013916671e-11,0.0001054001246289715,-8.007209051142465e-11,0.0001054001246289715,-1.578399501484114e-10
0.0001154001246289715,-7.725544955280486e-12,0.0001154001246289715,-2.20537973399112e-11,0.0001154001246289715,-3.839460816651559e-11,0.0001154001246289715,-5.381287660324677e-11,0.0001154001246289715,-6.771306796265763e-11,0.0001154001246289715,-1.165617550804174e-10,0.0001154001246289715,-1.088507517795639e-10,0.0001154001246289715,-1.004861168015631e-10,0.0001154001246289715,-9.129205055387185e-11,0.0001154001246289715,-8.013881539080191e-11,0.0001154001246289715,-1.538399501484114e-10
0.0001254001246289715,-7.735013248238231e-12,0.0001254001246289715,-2.207792165149894e-11,0.0001254001246289715,-3.843354160706988e-11,0.0001254001246289715,-5.386435627717185e-11,0.0001254001246289715,-6.777476171754208e-11,0.0001254001246289715,-1.166513200461793e-10,0.0001254001246289715,-1.089367273583901e-10,0.0001254001246289715,-1.00567860560258e-10,0.0001254001246289715,-9.136872826252196e-11,0.0001254001246289715,-8.020876339713705e-11,0.0001254001246289715,-1.498399501484114e-10
0.0001354001246289715,-7.744955617778834e-12,0.0001354001246289715,-2.210325037547431e-11,0.0001354001246289715,-3.847441425050488e-11,0.0001354001246289715,-5.391839462106116e-11,0.0001354001246289715,-6.783951668095178e-11,0.0001354001246289715,-1.167453021768718e-10,0.0001354001246289715,-1.090269472602878e-10,0.0001354001246289715,-1.006536439565113e-10,0.0001354001246289715,-9.144919926427665e-11,0.0001354001246289715,-8.028217669603797e-11,0.0001354001246289715,-1.458399501484114e-10
0.0001454001246289715,-7.755408998734256e-12,0.0001454001246289715,-2.212987707446801e-11,0.0001454001246289715,-3.851737638746459e-11,0.0001454001246289715,-5.397518951527106e-11,0.0001454001246289715,-6.790756920164806e-11,0.0001454001246289715,-1.168440404472453e-10,0.0001454001246289715,-1.091217375149881e-10,0.0001454001246289715,-1.007437776199696e-10,0.0001454001246289715,-9.153375555498403e-11,0.0001454001246289715,-8.035932241267871e-11,0.0001454001246289715,-1.418399501484114e-10
0.0001554001246289715,-7.76641427528713e-12,0.0001554001246289715,-2.215790528622733e-11,0.0001554001246289715,-3.856259429293856e-11,0.0001554001246289715,-5.403495984097663e-11,0.0001554001246289715,-6.797918066900889e-11,0.0001554001246289715,-1.169479095264224e-10,0.0001554001246289715,-1.092214585170238e-10,0.0001554001246289715,-1.008386049566029e-10,0.0001554001246289715,-9.162271997335073e-11,0.0001554001246289715,-8.044049592842524e-11,0.0001554001246289715,-1.378399501484114e-10
0.0001654001246289715,-7.778016822502751e-12,0.0001654001246289715,-2.218744988671054e-11,0.0001654001246289715,-3.861025240562466e-11,0.0001654001246289715,-5.409794833726679e-11,0.0001654001246289715,-6.805464091387279e-11,0.0001654001246289715,-1.17057324594802e-10,0.0001654001246289715,-1.093265096683302e-10,0.0001654001246289715,-1.00938506580706e-10,0.0001654001246289715,-9.171645037676797e-11,0.0001654001246289715,-8.052602471206479e-11,0.0001654001246289715,-1.338399501484114e-10
0.0001754001246289715,-7.790267139102387e-12,0.0001754001246289715,-2.221863868236322e-11,0.0001754001246289715,-3.866055587265431e-11,0.0001754001246289715,-5.416442493575413e-11,0.0001754001246289715,-6.81342721766367e-11,0.0001754001246289715,-1.171727469600531e-10,0.0001754001246289715,-1.094373347909313e-10,0.0001754001246289715,-1.01043905484161e-10,0.0001754001246289715,-9.181534451172458e-11,0.0001754001246289715,-8.061627278909579e-11,0.0001754001246289715,-1.298399501484114e-10
0.0001854001246289715,-7.80322158955679e-12,0.0001854001246289715,-2.225161427758775e-11,0.0001854001246289715,-3.871373353174404e-11,0.0001854001246289715,-5.423469066780559e-11,0.0001854001246289715,-6.821843375497875e-11,0.0001854001246289715,-1.172946906283835e-10,0.0001854001246289715,-1.095544284619916e-10,0.0001854001246289715,-1.011552730868606e-10,0.0001854001246289715,-9.191984571521222e-11,0.0001854001246289715,-8.071164597521351e-11,0.0001854001246289715,-1.258399501484114e-10
0.0001954001246289715,-7.816943278733737e-12,0.0001954001246289715,-2.228653627276726e-11,0.0001954001246289715,-3.877004142184261e-11,0.0001954001246289715,-5.430908226157552e-11,0.0001954001246289715,-6.830752747164116e-11,0.0001954001246289715,-1.174237300268597e-10,0.0001954001246289715,-1.09678343459183e-10,0.0001954001246289715,-1.012731363489786e-10,0.0001954001246289715,-9.20304496190573e-11,0.0001954001246289715,-8.081259803114264e-11,0.0001954001246289715,-1.218399501484114e-10
0.0002054001246289715,-7.831503086787007e-12,0.0002054001246289715,-2.232358386478918e-11,0.0002054001246289715,-3.882976693275871e-11,0.0002054001246289715,-5.438797757449122e-11,0.0002054001246289715,-6.840200413258008e-11,0.0002054001246289715,-1.175605091145825e-10,0.0002054001246289715,-1.098096995472087e-10,0.0002054001246289715,-1.013980861660325e-10,0.0002054001246289715,-9.214771206397488e-11,0.0002054001246289715,-8.091963793066965e-11,0.0002054001246289715,-1.178399501484114e-10
